name,real_name,full_name,overall_score,history_text,powers_text,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score,superpowers,alter_egos,aliases,place_of_birth,first_appearance,creator,alignment,occupation,base,teams,relatives,gender,type_race,height,weight,eye_color,hair_color,skin_color,img,has_electrokinesis,has_energy_constructs,has_mind_control_resistance,has_matter_manipulation,has_telepathy_resistance,has_mind_control,has_enhanced_hearing,has_dimensional_travel,has_element_control,has_size_changing,has_fire_resistance,has_fire_control,has_dexterity,has_reality_warping,has_illusions,has_energy_beams,has_peak_human_condition,has_shapeshifting,has_heat_resistance,has_jump,has_self-sustenance,has_energy_absorption,has_cold_resistance,has_magic,has_telekinesis,has_toxin_and_disease_resistance,has_telepathy,has_regeneration,has_immortality,has_teleportation,has_force_fields,has_energy_manipulation,has_endurance,has_longevity,has_weapon-based_powers,has_energy_blasts,has_enhanced_senses,has_invulnerability,has_stealth,has_marksmanship,has_flight,has_accelerated_healing,has_weapons_master,has_intelligence,has_reflexes,has_super_speed,has_durability,has_stamina,has_agility,has_super_strength
Shadow Wraith 0,Eliot Vance 0,Eliot Vance 0,72,A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the po,"Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and s",77,52,100,100,74,22,,,,,,,neutral,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1
Captain Sol 1,Sarah Bright 1,Sarah Bright 1,55,A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers ,"Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, f",62,71,71,61,54,80,,,,,,,neutral,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0
Iron Fang 2,Victor Harlow 2,Victor Harlow 2,72,A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched st,"Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. ",77,96,83,81,71,76,,,,,,,evil,,,,,,,,,,,,,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
Mystic Gale 3,Lila Rivers 3,Lila Rivers 3,91,A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for j,"Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipul",58,72,80,91,97,47,,,,,,,evil,,,,,,,,,,,,,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1
Neon Vortex 4,Arlo Sparks 4,Arlo Sparks 4,62,A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields ne,"Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super",51,74,94,65,85,38,,,,,,,evil,,,,,,,,,,,,,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1
Shadow Wraith 5,Eliot Vance 5,Eliot Vance 5,75,A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the po,"Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and s",57,58,63,65,36,3,,,,,,,good,,,,,,,,,,,,,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1
Captain Sol 6,Sarah Bright 6,Sarah Bright 6,90,A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers ,"Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, f",86,97,80,80,53,70,,,,,,,evil,,,,,,,,,,,,,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
Iron Fang 7,Victor Harlow 7,Victor Harlow 7,95,A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched st,"Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. ",82,65,58,89,17,1,,,,,,,good,,,,,,,,,,,,,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0
Mystic Gale 8,Lila Rivers 8,Lila Rivers 8,84,A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for j,"Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipul",81,51,84,68,48,89,,,,,,,evil,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1
Neon Vortex 9,Arlo Sparks 9,Arlo Sparks 9,62,A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields ne,"Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super",99,59,56,98,17,25,,,,,,,evil,,,,,,,,,,,,,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
